x;y;dbmsnr;hzbnr01;typ
567740,18;328167,46;6002571;329177;gw
623833,77;447208,49;3002849;331595;gw
357653,51;325359,68;7004887;360297;gw
509612,68;366140,4;6002293;315457;gw
123361,67;401529,21;8002221;328435;gw
619916,1;438012,84;3002558;313916;gw
122768,63;404539,72;8002219;328419;gw
605587,29;311409,72;6003376;349324;gw
481193,21;482270,17;4002447;323477;gw
618822,21;378696,71;1002416;345892;gw
460721,01;492166,52;4002031;306886;gw
675247,92;468371,59;1002076;306266;gw
657198,76;499055,76;3003161;359737;gw
374221,16;307481,31;2900130;361626;gw
126328,22;372614,59;8002035;321455;gw
562174,21;335146,04;6002404;319194;gw
123004,15;372989,3;8002044;321547;gw
599519,02;501317,85;3002292;303347;gw
607759,32;434873,05;3002631;319277;gw
600843,8;368690,43;6003338;343863;gw
608559,87;492954,03;3002364;304063;gw
453569,27;474167,02;4002975;376236;gw
198824,8;397415,28;7004142;370098;gw
121600,01;378464,07;8002369;347401;gw
503202,41;366627,62;6002841;340356;gw
138770,62;375804,24;8002312;347252;gw
377641,97;480200,41;4003315;381186;gw
473409,39;305900,51;2002152;338046;gw
631057,45;485092,48;9002297;350249;gw
359090,42;324539,1;7002048;330696;gw
122440,94;373936,83;8002027;321372;gw
299292,4;397839,89;7002146;334680;gw
471159,88;483805,81;4002919;377762;gw
618594,34;478259,52;9002193;333708;gw
589997,74;330144,68;6003315;343236;gw
377485,9;434193,43;5002113;321208;gw
632095,87;460062,41;11002068;317479;gw
514280,85;325538;2002497;351726;gw
482683,6;295976,85;2900107;360560;gw
219122,55;357413,09;7004314;342600;gw
487795,27;326194,82;2002147;338913;gw
661608,92;516818,27;3002492;305375;gw
427293,41;354592,97;5002351;355156;gw
453125,22;510288,77;4002607;316943;gw
472402,65;487999,56;4002877;378174;gw
479256,83;361148,74;6002726;336230;gw
558397,02;421702,74;6003627;358622;gw
485698,68;483981,11;4002143;308007;gw
492243,58;478845,95;3002194;302364;gw
582981,5;316622,19;6002567;329136;gw
416835,25;455232,69;4003272;344796;gw
499409,41;304297,94;2002053;317198;gw
130176,85;369124,45;8002076;321869;gw
512091,91;366435,97;6003047;340521;gw
630808,93;483719,71;9002298;350264;gw
374700,78;432909,03;5002483;361493;gw
501779;423519,13;6003615;356980;gw
522524,29;552018,53;3002886;331967;gw
541988,07;480579,19;3002675;322800;gw
417303,45;510138,72;4003156;344150;gw
467047,72;478945,37;4002630;375519;gw
129575,62;401932,74;8002597;357194;gw
662610,91;434136,31;1002421;345843;gw
621997,53;481507,47;9002887;382192;gw
124397,83;372173,23;8002045;321554;gw
633723,06;481067,86;9002260;350116;gw
585322,95;494283,24;3002349;303917;gw
570782,7;472807,35;3002686;322917;gw
615420,17;341879,22;1002237;335299;gw
367654,98;319410,33;7004908;360651;gw
426400,57;310329,64;2002311;351577;gw
557170,92;349306,84;6002798;336958;gw
667156,78;462274,8;1002394;382523;gw
623471,12;495135,03;3002701;326603;gw
454033,76;492375,94;4002012;306696;gw
506710,77;363783,07;6002221;314732;gw
473617,46;483234,29;4002908;377101;gw
606038,34;389582,54;1002209;326504;gw
489234,65;300460,9;2002451;354373;gw
663092,81;473409,03;3002503;305482;gw
289366,29;392710,45;7004801;359240;gw
666040,06;427567,02;1002221;335125;gw
676735,27;448176,78;1002166;326074;gw
628604,95;483935,7;9002017;312207;gw
510807,25;465547,16;3002719;326785;gw
481914,08;485421,1;4002406;323048;gw
615912,96;439216,16;3002846;331561;gw
443584,64;466505,75;4002391;316745;gw
560706,52;341719,12;6003243;349993;gw
467828,25;481749,24;4002610;316919;gw
626004,94;357437,92;1002305;345017;gw
565286,18;342747,86;6002356;318717;gw
130114,58;403187,73;8002089;322024;gw
479185,31;482452,37;4002365;316489;gw
282131,4;388604,33;7004742;359117;gw
551623,52;362812,98;6002467;325621;gw
502474,18;367070,67;6002842;340380;gw
606293,41;504167,19;3002766;327254;gw
339870,32;317855,02;7004524;342022;gw
658145,19;434968,59;1002037;305862;gw
562536,13;349172,48;6002601;329482;gw
458102,75;474045,2;4002340;316232;gw
658447,5;439427,81;1002158;319582;gw
638361,43;354758,94;1002205;326462;gw
472704,13;492712,98;4002696;376947;gw
558270,26;358392,56;6002397;319129;gw
465025,71;479034,31;4002385;316687;gw
144757,59;364410,61;8002236;332080;gw
453319,15;473503,82;4002976;376251;gw
551270,51;363536,63;6002464;325597;gw
500643,7;478245,74;4002200;308577;gw
381796,46;423507,73;5002042;320739;gw
563309,77;335506,91;6002257;315093;gw
278637,44;387256,57;7002036;330571;gw
627272,46;458264,54;11002002;300236;gw
485740,36;513663,4;4003288;344846;gw
674343,69;428641,92;1002127;316026;gw
509480,03;365689,18;6002646;329938;gw
464559,02;328356,88;2002552;354464;gw
634354,18;482194,55;9002239;341594;gw
578228,43;320800,07;6003305;343137;gw
673482,26;454066,64;1002338;345371;gw
622247,19;500297,41;3002278;303206;gw
486244,12;302677,57;2002383;351882;gw
568290,58;334863,45;6002152;311423;gw
154047,64;364262,08;8002241;332130;gw
467654,19;293416,62;2002450;354357;gw
120640,61;403626,91;8002225;328476;gw
520082,76;374954,11;6003407;349183;gw
200802,36;400224,61;7002102;334243;gw
598587,58;314477,41;6003374;349332;gw
467702,03;482837,82;4002128;307850;gw
477433,23;486498,98;4002983;376566;gw
188664,23;384892,91;7004275;342402;gw
328144,33;316493,32;7004562;370874;gw
629044,02;485364,33;9002177;333385;gw
657156,13;436041,53;1002036;305854;gw
605156,85;311934,38;6002696;332932;gw
115877,6;377756,39;8002148;327619;gw
243950,65;375981,44;7002135;334573;gw
644537;441925,3;1002182;326231;gw
504773,17;366591,11;6002227;314799;gw
461061,93;475763,35;4002343;316265;gw
202380,57;402234,88;7002161;334847;gw
621998,98;496378,02;3002820;331298;gw
146779,68;350730,01;8002264;332429;gw
475559,65;485044,36;4002463;323634;gw
633032,22;493001,97;3002425;304691;gw
591236,05;491563,65;3002577;315606;gw
439074,79;465337,44;4003011;374702;gw
374686,71;437216,89;5002101;347526;gw
632474;484785,18;9002302;350272;gw
380348,77;423308,79;5002035;320663;gw
365420,96;320862,86;7004905;360636;gw
653583,31;500578,21;3002417;304592;gw
456041,42;489822,31;4002310;314443;gw
473791,42;492546,78;4002424;323238;gw
631442,87;460314,36;11002072;317511;gw
251461,19;375222,56;7002265;339994;gw
191789,42;365094,64;7004360;342758;gw
613718,36;499016,69;3002773;327320;gw
628257,73;487616,07;9002114;313171;gw
677883;430657,82;1002226;335174;gw
506601,41;360701,12;6003421;349126;gw
664988,91;488973,08;3002826;331355;gw
631513,52;460692,81;11002134;357103;gw
521970,28;470169,04;3002721;326801;gw
570353,31;331776,6;6002149;311399;gw
129293,48;396328,71;8002636;357210;gw
309985,69;408019,31;7002240;339705;gw
475232,43;302841,39;2002151;338996;gw
606463,58;350563,65;6003346;343657;gw
589442,25;380351,13;6003334;343814;gw
526191,24;383076,89;6002744;336412;gw
296392,73;397152,22;7004845;360230;gw
401904,52;322259,84;2002082;317982;gw
552241,46;369280,05;6002418;325134;gw
658403,34;435635,8;1002153;319517;gw
647995,57;502340,74;3002465;305094;gw
474538,09;488471,39;4002632;377945;gw
626032,46;485833,32;9002058;312611;gw
582411,35;313580,81;6003363;349233;gw
564289,79;407267,26;6002313;318287;gw
554465,76;399125,06;6002775;336727;gw
450978,21;475632,13;4002984;376491;gw
255650,15;376896,03;7004582;358200;gw
585125,65;314177,62;6003528;356493;gw
497137,81;369101,56;6003499;353334;gw
601079,76;329911,6;6003471;349852;gw
670683,56;438269,9;1002055;306043;gw
486344,78;326291,55;2002146;338897;gw
118912,73;375654,37;8002422;347500;gw
491892,01;479998,48;3002224;302661;gw
668409,14;443399,09;1002172;326132;gw
646348,2;439158,16;1002385;345694;gw
308435,82;406039,64;7002243;339739;gw
672710,88;440249,52;1002334;345330;gw
507351,39;367561,64;6003419;353128;gw
499703,63;302967,47;2002047;317131;gw
633091,55;525914,9;3002883;331934;gw
554687,95;359430,88;6002367;318824;gw
551552,6;362499,14;6002460;325555;gw
153666,96;364184,6;8002240;332122;gw
504746,4;363884,45;6002749;336461;gw
575142,81;319351,61;6003396;353268;gw
655812,26;501516,56;3002481;305268;gw
492486,34;306237,73;2002541;354282;gw
384411,99;315947,73;2002538;354225;gw
433298,88;358011,44;5002349;355099;gw
427356,39;309404,93;2002155;338129;gw
120391,95;402463,89;8002224;328468;gw
509265,26;467409,62;3002727;326868;gw
630719,32;460779,92;11002048;315945;gw
312283,79;410333,03;7004171;346734;gw
441166,47;463107,33;4002571;324731;gw
478991,72;479532,47;4003283;344879;gw
123407,92;401392,79;8002570;379776;gw
232605,97;381075,04;7002151;334730;gw
560843,95;340436,92;6002277;315291;gw
473614,84;489438,61;4002500;324020;gw
505468,99;476901,71;4002254;309112;gw
579315,29;505642,43;3002892;337022;gw
290957,89;375868,12;7005010;360925;gw
605379,41;312856,42;6003377;349308;gw
630991,9;454871,63;3002136;301754;gw
676892,72;473633,88;1002263;335554;gw
397284,72;317293,15;2002080;317966;gw
645538,26;488311,09;3002426;304709;gw
402822,75;399917,82;5002361;357913;gw
636677,96;476622,8;3002051;300723;gw
602524,52;500284,5;3002893;337030;gw
316909,42;402799,47;7004645;358424;gw
115964,93;385130,99;8002136;322495;gw
624403,97;459512,23;3002132;301705;gw
670632,15;477481,34;3003162;359729;gw
491237,97;315112,42;2002458;354514;gw
477752,92;301556,23;2900044;360040;gw
559862,87;481348,58;3002751;327106;gw
443338,85;492398,36;4003192;344317;gw
617208,71;439873,67;3002556;313890;gw
454547,93;474228,6;4002971;376095;gw
563871,35;350192,31;6002583;329300;gw
471653,87;484556,11;4002482;323824;gw
631276,52;472268,35;3002597;315820;gw
132654,4;368499,9;8002064;321745;gw
639507,07;394907,09;1002290;335869;gw
441214,58;465852,42;4003006;374322;gw
428078,17;295189,28;2002384;351908;gw
459640,09;491485,76;4003129;374371;gw
438326,48;299762,11;2002000;309559;gw
636281;476513,44;3002539;313700;gw
654266,83;499301,91;3002484;305292;gw
581374,37;315878,95;6002562;329086;gw
565535,38;340681,69;6003525;356352;gw
558888,48;356861,82;6002428;325233;gw
483226,93;483892,56;4002578;324806;gw
629333,42;492456,97;9002175;333344;gw
658100,96;439495,43;1002041;305904;gw
115146,28;384712,78;8002121;322347;gw
513963,42;323526,8;2002352;351684;gw
381580,55;481871,82;4002520;324228;gw
480989,26;482545,25;4002799;377432;gw
128526,75;405675,4;8002108;322214;gw
673481,57;454062,15;1002339;345389;gw
256096,78;376852,58;7004761;371187;gw
435092,31;359006,91;5002346;355032;gw
381181,48;431452,76;5002106;321265;gw
463178,55;477882,84;4003286;344945;gw
598683,97;322900,16;6003491;353193;gw
663255,57;492179,8;3002467;305110;gw
486614,12;323569,58;2002142;338814;gw
638142,7;484422,98;9002104;313072;gw
605590,27;522428,04;3002890;332007;gw
462608,47;477333,11;4003100;375048;gw
119922,63;391178,82;8002135;322487;gw
613821,35;434918,9;3002152;301937;gw
564915,55;343968,12;6002534;328799;gw
644469,5;496979,11;3002477;305219;gw
606427,07;396307,07;6003504;356261;gw
451547,54;495654,29;4002000;306571;gw
318425,73;402950,13;7004646;358432;gw
666852,5;463910,2;1002397;382556;gw
489570,75;476376,43;3002759;327189;gw
543012,62;482484,48;3002665;322701;gw
375423,71;439980,02;5002054;320853;gw
629302,73;448225,57;3002608;317255;gw
123950,58;396088,11;8002202;328203;gw
458049,69;490484,46;4003133;374439;gw
660458,73;478128,59;3002487;305326;gw
633379,93;459588,76;11002059;317388;gw
638029;482754,8;9002258;341974;gw
279650,24;392863,48;7004205;347005;gw
458844,92;470394,57;4002562;324640;gw
546964,02;312217,61;6003575;356618;gw
332673,64;404613,85;7004402;370577;gw
315702,58;415430,12;7004221;370445;gw
458666,97;403236,13;6003553;356410;gw
642324,02;468705,04;3002105;301432;gw
547765,46;346113,45;6003274;340950;gw
506520,73;476655,34;4002230;308874;gw
474334,69;492536,37;4002421;323204;gw
121309,34;374406,23;8002029;321398;gw
508409,78;478132,79;4002248;309054;gw
663448,44;436932,9;1002018;305672;gw
381250,62;423377,58;5002050;320812;gw
248460,64;375370,01;7004767;371252;gw
289708,49;394119,1;7002278;346122;gw
509937,4;368304,44;6003408;353078;gw
564786,49;334802,48;6002086;310763;gw
675497,45;439608,89;1002006;305557;gw
600604,18;385441,95;6003349;343764;gw
477451,84;482963,6;4003346;359596;gw
588797,7;493713,39;3003134;337493;gw
663756,39;481886,36;3002420;304626;gw
478577,51;485736,16;4002669;376442;gw
443273,17;465830,34;4002991;376756;gw
575890,99;527084,44;3002913;337238;gw
609238,43;369307,65;6003437;349654;gw
601473,46;519594,28;3002891;337014;gw
513276,67;468577,16;3002730;326892;gw
484641,46;489551,53;4003193;344325;gw
144186,54;389200,69;8002255;332312;gw
332495,49;375738,44;5002267;347914;gw
121289,83;378689,57;8002432;378927;gw
613401,77;451904,25;3002040;300616;gw
623322,88;451242,99;3002609;317263;gw
448414,47;454215,47;4002575;324772;gw
677055,45;431768,21;1002225;335166;gw
664758,39;444489,75;1002052;306019;gw
258807,03;377294,73;7002017;330381;gw
644009,13;435193,21;1002449;353474;gw
620299,1;474479,59;9002067;312702;gw
278823,85;386722,53;7004849;360271;gw
560217,05;349385,22;6002042;310326;gw
401104,74;319155,66;2002069;317859;gw
575101,83;317584,23;6002205;311951;gw
585449,12;496632,28;3002379;304212;gw
580426,79;314116,64;6003362;349217;gw
570792,04;327373,62;6002138;311282;gw
292780,96;394379,33;7004934;360826;gw
296969,89;396519,57;7004709;359067;gw
610683,43;501889,13;3002519;313502;gw
633708,91;461197,47;11002133;357095;gw
361009,91;386349,43;5002506;362152;gw
605247,67;341578,8;6003139;343624;gw
562001,82;350758,5;6002600;329474;gw
458863,92;491650,69;4002581;324830;gw
545491,09;320265,24;6003501;353375;gw
611148,78;355679,84;1002308;345041;gw
623853,52;443374,43;3002563;313965;gw
196335,61;369197,16;7004133;346692;gw
365137,65;321379,5;7002060;330811;gw
678804,72;435643,38;1002410;345785;gw
576130,81;333047,66;6003671;358853;gw
557947,95;355049,91;6003255;340778;gw
380997,33;423762,54;5002037;320689;gw
647896,45;400843,87;1002441;353391;gw
601261,99;425958,46;3002750;327098;gw
599030,46;315134,8;6003373;349316;gw
373998,25;443478,83;5002061;320929;gw
461575,03;455935,51;4003252;344663;gw
553235,4;398398,31;6002762;336594;gw
614546,79;366069,85;1002298;335943;gw
578259,51;497460,44;3002691;322966;gw
114890,35;376209,21;8002478;379347;gw
644079,46;479627,73;3002461;305052;gw
576617,97;494431,41;3002678;322834;gw
594377,26;373378,8;6003354;343798;gw
630972,73;485855,76;9002259;341990;gw
572100,46;503012,71;3002521;313528;gw
649774,19;402851,79;1002281;335745;gw
472805,9;492149,13;4002425;323246;gw
622270,48;437640,82;1002525;353755;gw
230849,23;381168,83;7002138;334607;gw
236031,52;379075,01;7004121;346668;gw
500154,68;310749,82;2002343;351932;gw
661057,09;523903,25;3002581;315648;gw
191529,22;365362,01;7004361;342741;gw
567808,3;322787,78;6002759;336560;gw
568304;323788,29;6003585;353136;gw
476033,14;486986,83;4002687;376624;gw
665982,18;479893,24;3002475;305193;gw
663501,32;476537,6;10001054;331066;gw
568866,37;332693,72;6003261;372359;gw
472389,57;300998,41;2900111;361584;gw
562328,53;344850,81;6002769;336669;gw
482313,84;348457,08;6003613;356964;gw
596844,55;319593,69;6002225;314773;gw
461153,35;455088,03;4002574;324764;gw
237189,36;378131,2;7004913;360677;gw
469161,83;483998,29;4002858;376061;gw
499508,19;367105,44;6003646;358689;gw
450760,81;397018,45;6002779;336768;gw
590939,77;358425,12;6002551;328971;gw
330286,55;419242,27;7002291;346197;gw
246941,88;375811,43;7002100;334227;gw
385567,08;467565,21;4002530;324327;gw
474048,6;360278,22;6003328;343723;gw
486223,36;329294,43;2002150;338970;gw
637133,79;482746,76;9002266;350199;gw
649020,43;465478,94;3002126;301648;gw
374283,24;468659,6;4003270;344770;gw
472354,68;300431,57;2002138;338731;gw
196822,86;354093,24;7004300;342527;gw
559681,92;355794;6002606;329532;gw
473253,31;491702,81;4002422;323212;gw
502920,07;479938,04;4002229;308866;gw
288363,79;392150,71;7004517;354167;gw
564203,11;344205,77;6003242;340729;gw
116355,7;379177,87;8002115;322289;gw
388482,72;457215,94;4002545;324475;gw
473659,19;491780,04;4002700;376707;gw
582276,53;497123,75;3002579;315622;gw
593718,56;499959,85;3002339;303818;gw
632931,85;459385,3;11002051;317305;gw
332597,74;405389,78;7002043;330647;gw
133200,65;367540,61;8002341;352260;gw
460981,61;493179,74;4002034;306910;gw
127144,98;403004,9;8002215;328377;gw
548213,4;326500,36;6002820;340141;gw
628405,48;458463,59;11002082;326561;gw
269137,09;378483,38;7002211;339358;gw
632208,03;485232,28;9002179;333427;gw
277461,1;385256,91;7002208;339325;gw
451490,19;472628,89;4002855;376533;gw
621438,13;455369,4;3002776;327353;gw
512591,43;368320,69;6002229;314815;gw
601991,57;494506,97;3002399;304410;gw
473021,03;315269,23;2002288;338640;gw
662014,26;533577,03;3002833;331439;gw
625323,76;480480,4;9002194;333724;gw
423471,19;312575,92;2002309;351536;gw
260254,11;376572,77;7002020;330415;gw
511223,62;366126,44;6002649;329961;gw
433227,14;306491,05;2900140;361998;gw
668028,85;428151,56;1002046;305953;gw
663239,26;535849,07;3002702;326611;gw
328354,76;316551,86;7004543;370767;gw
312877,47;410171,59;7004172;346742;gw
386056,51;473306,75;4002528;324301;gw
268738,11;379896,49;7004817;359372;gw
664973,05;464497,51;1002396;382549;gw
289852,89;371380,83;7004117;346676;gw
566834,92;534689,83;3002869;331793;gw
121951,29;376189,8;8002037;321471;gw
146417,26;386441,44;8002256;332320;gw
361164,91;325217,95;7004187;346841;gw
600660,29;368520,28;6003356;343855;gw
629313,96;483736,97;9002186;333567;gw
401154,71;325509,97;2002083;317990;gw
510935,53;369683,23;6003442;343970;gw
623807,63;374822,19;1002354;345447;gw
432983,03;433102,64;4003171;344226;gw
287390,43;363412,89;7005011;360917;gw
126985,31;406852,62;8002112;322255;gw
624928,26;483415,53;9002007;312108;gw
120388,57;390377,21;8002137;322503;gw
623595,6;493518,02;3002513;313445;gw
470182,73;480869,32;4002734;376020;gw
593469,63;363510,79;6003118;343400;gw
436583,39;462773,77;4003025;374900;gw
636879,05;351021,33;1002241;335331;gw
129940,89;411975,92;8002157;327726;gw
474505,25;294189,69;2002109;338111;gw
609390,93;340472,91;1002448;353466;gw
521497,76;378854,72;6002719;336164;gw
371683,32;316343,21;2002294;338780;gw
596604,74;362815,45;6002502;325977;gw
471353,24;493172,78;4003362;359653;gw
155988,82;371672,14;8002366;347344;gw
268995,86;379345,82;7004743;359125;gw
147371,73;350287,01;8002269;332478;gw
640935,48;499760,23;3002749;327080;gw
522346,48;388642,11;6002811;336982;gw
598692,74;341865,11;6003136;343574;gw
509448,69;308686,76;2002447;354290;gw
531712,9;477129,81;3002896;337063;gw
638300,13;413101,57;1002516;353680;gw
631758,83;463818,51;11002078;317610;gw
625952,92;454687,42;3002081;301127;gw
550802,24;361800,98;6002530;328757;gw
566741,17;326572,32;6002158;311480;gw
452611,58;472929,19;4002853;376475;gw
450454,42;495206,18;4002057;307140;gw
459621,32;476671,75;4002946;375329;gw
439500,86;464145,32;4002682;374561;gw
453670,22;489358,26;4002089;307462;gw
397756,6;317016,21;2002077;317933;gw
138084,87;395136,95;8002169;327866;gw
438736,58;297730,62;2002017;309724;gw
659089,45;440499,99;1002157;319574;gw
606656,1;341246,99;6002554;329003;gw
378938,36;314985,19;2002296;351734;gw
118168,95;387547,71;8002128;322412;gw
502791,8;478699,09;4002193;308502;gw
496913,62;479170,39;4002209;308668;gw
472194,66;486168,77;4002904;377440;gw
564101,28;347497,13;6002564;329102;gw
562941,82;405389,53;6002703;333005;gw
126219,48;370824,31;8002057;321679;gw
562583,59;347915,97;6002073;310631;gw
556251,32;328404,78;6003683;361121;gw
457581,52;402625,15;6003554;356402;gw
378238,62;484576,27;4002516;324186;gw
631578,22;460041,69;11002066;317453;gw
421060,54;467764,33;4003296;359414;gw
675921,38;434020,42;1002403;382580;gw
454356,18;459021,76;4002568;324707;gw
491925,41;482063,1;4002762;378463;gw
604291,68;312420,27;6002695;332924;gw
574010,17;320212,39;6003395;353227;gw
503575,32;478387,05;4002270;309278;gw
458557,78;492388,8;4002028;306852;gw
